S. No.,State,District,Location,Longitude,Latitude,Year,pH,EC (µS/cm),F (mg/L),NO3 (mg/L),Fe (ppm),As (ppb),U (ppb),As (mg/L),U (mg/L),HPI,Category
1,Andaman & Nicobar Islands,North & Middle Andaman,Bakultala,92.8577,12.5043,2023,7.96,395,0.18,8,0.53,-,-,NaN,NaN,176.667,unsafe
2,Andaman & Nicobar Islands,North & Middle Andaman,Baratang (Nilambur),92.767,12.1683,2023,8.19,473,0,10,0,-,-,NaN,NaN,0,safe
3,Andaman & Nicobar Islands,North & Middle Andaman,Basantipur,92.8737,12.7579,2023,8.19,556,0,1,0.22,-,-,NaN,NaN,73.333,moderate
4,Andaman & Nicobar Islands,North & Middle Andaman,Betapur,92.9434,12.6191,2023,8.07,487,0.16,2,0.04,-,-,NaN,NaN,13.333,safe
5,Andaman & Nicobar Islands,North & Middle Andaman,Dhobidera (Mayabunder),92.8992,12.9099,2023,8.02,567,0.13,11,0.22,-,-,NaN,NaN,73.333,moderate
6,Andaman & Nicobar Islands,North & Middle Andaman,Durgapur,93.0236,13.2765,2023,8.2,526,0.38,0,1.14,-,-,NaN,NaN,380,unsafe
7,Andaman & Nicobar Islands,North & Middle Andaman,Haribay,92.8442,13.0023,2023,8.15,233,0,3,0.26,-,-,NaN,NaN,86.667,moderate
8,Andaman & Nicobar Islands,North & Middle Andaman,Joypur,92.8809,12.6982,2023,8.13,457,0.12,1,0,-,-,NaN,NaN,0,safe
9,Andaman & Nicobar Islands,North & Middle Andaman,Kadamtala,92.775,12.3488,2023,8.09,413,0,2,0.13,-,-,NaN,NaN,43.333,safe
10,Andaman & Nicobar Islands,North & Middle Andaman,Kausalyanagar,92.8189,12.5284,2023,8.08,276,0,4,0.26,-,-,NaN,NaN,86.667,moderate
11,Andaman & Nicobar Islands,North & Middle Andaman,Keralapuram,93.0135,13.2588,2023,8.18,271,0,2,0.09,-,-,NaN,NaN,30,safe
12,Andaman & Nicobar Islands,North & Middle Andaman,Kishorinagar (Parangara),92.8839,13.163,2023,8.25,72,0.03,1,0,-,-,NaN,NaN,0,safe
13,Andaman & Nicobar Islands,North & Middle Andaman,Laxmipur,92.964,13.2873,2023,8.12,1081,0.69,0,1.89,-,-,NaN,NaN,630,unsafe
14,Andaman & Nicobar Islands,North & Middle Andaman,Long Island,92.9248,12.3653,2023,8.14,315,0,2,0.09,-,-,NaN,NaN,30,safe
15,Andaman & Nicobar Islands,North & Middle Andaman,Long Island,92.9237,12.3644,2023,8.15,353,0,0,0.22,-,-,NaN,NaN,73.333,moderate
